"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
2016-08-09 16:28:02.000,1,-0.248,0.024,-0.012,0.87,1,"1.in",1,"1.Other","00:00:00.00","in","Other","water","surface","","2016-08-09 16:28:02"
2016-08-09 16:28:02.052,1,-1.1008,1.385,2.015,0.8765,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.105,1,-1.0776,1.398,2.01,0.883,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.157,1,-1.0544,1.411,2.005,0.8895,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.210,1,-1.0312,1.424,2,0.896,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.263,1,-1.008,1.437,1.995,0.9025,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.315,1,-0.9848,1.45,1.99,0.909,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.368,1,-0.9616,1.463,1.985,0.9155,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.420,1,-0.9384,1.476,1.98,0.922,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.473,1,-0.9152,1.489,1.975,0.9285,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.526,1,-0.892,1.502,1.97,0.935,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.578,1,-0.8688,1.515,1.965,0.9415,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.631,1,-0.8456,1.528,1.96,0.948,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.683,1,-0.8224,1.541,1.955,0.9545,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.736,1,-0.7992,1.554,1.95,0.961,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.789,1,-0.776,1.567,1.945,0.9675,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.841,1,-0.7528,1.58,1.94,0.974,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.894,1,-0.7296,1.593,1.935,0.9805,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.946,1,-0.7064,1.606,1.93,0.987,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:02.999,1,-0.6832,1.619,1.925,0.9935,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in","2016-08-09 16:28:02"
2016-08-09 16:28:03.052,1,0.055,-0.113,0.5882,0.998,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.104,1,0.054,-0.11,0.5924,0.996,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.157,1,0.053,-0.107,0.5966,0.994,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.210,1,0.052,-0.104,0.6008,0.992,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.262,1,0.051,-0.101,0.605,0.99,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.315,1,0.05,-0.098,0.6092,0.988,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.367,1,0.049,-0.095,0.6134,0.986,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.420,1,0.048,-0.092,0.6176,0.984,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.473,1,0.047,-0.089,0.6218,0.982,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.525,1,0.046,-0.086,0.626,0.98,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.578,1,0.045,-0.083,0.6302,0.978,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.630,1,0.044,-0.08,0.6344,0.976,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.683,1,0.043,-0.077,0.6386,0.974,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.736,1,0.042,-0.074,0.6428,0.972,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.788,1,0.041,-0.071,0.647,0.97,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.841,1,0.04,-0.068,0.6512,0.968,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.893,1,0.039,-0.065,0.6554,0.966,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.946,1,0.038,-0.062,0.6596,0.964,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:03.999,1,0.037,-0.059,0.6638,0.962,1,"1.slow",2,"2.Travelling","8537","slow","Travelling","water","underwater","","2016-08-09 16:28:03"
2016-08-09 16:28:04.051,1,-0.0196,0.1714,0.6932,0.8715,1,"1.feeding",3,"3.Foraging","8550","feeding","Foraging","water","surface","","2016-08-09 16:28:04"
2016-08-09 16:28:04.104,1,-0.0192,0.1708,0.7024,0.873,1,"1.feeding",3,"3.Foraging","8550","feeding","Foraging","water","surface","","2016-08-09 16:28:04"
2016-08-09 16:28:04.157,1,-0.0188,0.1702,0.7116,0.8745,1,"1.feeding",3,"3.Foraging","8550","feeding","Foraging","water","surface","","2016-08-09 16:28:04"
2016-08-09 16:28:04.209,1,-0.0184,0.1696,0.7208,0.876,1,"1.feeding",3,"3.Foraging","8550","feeding","Foraging","water","surface","","2016-08-09 16:28:04"
2016-08-09 16:28:04.262,1,-0.018,0.169,0.73,0.8775,1,"1.feeding",3,"3.Foraging","8550","feeding","Foraging","water","surface","","2016-08-09 16:28:04"
