"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.lying",1,"1.Resting",5812,"43:05.2",0.78,0.2,-0.236,0.9,"lying","Resting","land","land","lying"
1,"1.lying",1,"1.Resting",5812,"43:05.2",0.78,0.192,-0.232,0.9,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5813,"43:05.3",0.78,0.196,-0.228,0.896,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5813,"43:05.3",0.78,0.204,-0.224,0.884,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5814,"43:05.4",0.78,0.212,-0.236,0.892,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5814,"43:05.4",0.78,0.208,-0.224,0.908,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5815,"43:05.5",0.78,0.204,-0.236,0.912,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5815,"43:05.6",0.81,0.192,-0.244,0.896,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5816,"43:05.6",0.78,0.192,-0.232,0.892,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5816,"43:05.6",0.78,0.2,-0.236,0.896,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5817,"43:05.7",0.78,0.208,-0.24,0.892,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5817,"43:05.7",0.78,0.216,-0.24,0.892,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5818,"43:05.8",0.81,0.2,-0.24,0.896,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5818,"43:05.8",0.78,0.2,-0.236,0.892,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5819,"43:05.9",0.78,0.204,-0.236,0.908,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5819,"43:05.9",0.81,0.192,-0.232,0.896,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5820,"43:06.0",0.78,0.188,-0.232,0.892,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5820,"43:06.0",0.78,0.196,-0.272,0.916,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5821,"43:06.1",0.81,0.224,-0.28,0.928,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5821,"43:06.1",0.78,0.244,-0.288,0.908,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5822,"43:06.2",0.81,0.328,-0.292,0.868,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5822,"43:06.3",0.78,0.396,-0.312,0.852,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5823,"43:06.3",0.81,0.452,-0.328,0.888,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",5823,"43:06.3",0.78,0.42,-0.316,0.912,"lying","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5824,"43:06.4",0.78,0.308,-0.352,0.872,"sitting","Resting","land","land","sitting"
1,"1.sitting",2,"2.Resting",5824,"43:06.4",0.78,0.14,-0.368,0.852,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5825,"43:06.5",0.81,0.02,-0.368,0.896,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5825,"43:06.5",0.78,0.024,-0.308,0.944,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5826,"43:06.6",0.78,-0.036,-0.2,0.92,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5826,"43:06.6",0.78,-0.112,-0.092,0.992,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5827,"43:06.7",0.78,-0.244,-0.016,0.888,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5827,"43:06.7",0.81,-0.36,0.04,0.784,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5828,"43:06.8",0.78,-0.536,0.14,0.692,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5828,"43:06.8",0.78,-0.584,0.188,0.632,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5829,"43:06.9",0.78,-0.604,0.192,0.664,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5829,"43:06.9",0.78,-0.664,0.184,0.636,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5830,"43:07.0",0.81,-0.732,0.096,0.56,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5830,"43:07.0",0.78,-0.812,-0.072,0.436,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5831,"43:07.1",0.78,-0.836,-0.336,0.356,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5831,"43:07.1",0.78,-0.8,-0.448,0.184,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5832,"43:07.2",0.78,-0.836,-0.484,0.164,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5832,"43:07.2",0.78,-0.816,-0.528,0.092,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5833,"43:07.3",0.78,-0.92,-0.544,0.028,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5833,"43:07.3",0.78,-0.808,-0.568,0.072,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5834,"43:07.4",0.78,-0.736,-0.476,0.092,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5834,"43:07.4",0.78,-0.844,-0.396,0.136,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5835,"43:07.5",0.78,-0.964,-0.352,0.156,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5835,"43:07.5",0.78,-0.98,-0.3,0.26,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5836,"43:07.6",0.78,-0.948,-0.284,0.376,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5836,"43:07.6",0.81,-0.864,-0.276,0.476,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5837,"43:07.7",0.81,-0.772,-0.14,0.384,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5837,"43:07.7",0.78,-0.732,0.108,0.48,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5838,"43:07.8",0.78,-0.696,0.288,0.408,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5838,"43:07.8",0.78,-0.82,0.504,0.46,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5839,"43:07.9",0.78,-0.844,0.46,0.396,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5839,"43:07.9",0.78,-0.792,0.376,0.484,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",5840,"43:08.0",0.78,-0.84,0.116,0.452,"sitting","Resting","land","land",""
