number,behaviour_event,value,type_event,fps,time,depth,x,y,z,behaviour,type,location,place,raw,date
1,1.moving,1,1.Travelling,00:00.1,53:00.0,1,0.152,0.724,0.8,moving,Travelling,land,land,moving,9:53:00.0
1,1.moving,1,1.Travelling,20510,53:00.0,1,0.496,0.648,0.792,moving,Travelling,land,land,,9:53:00.0
1,1.moving,1,1.Travelling,20511,53:00.1,1,0.516,0.692,0.324,moving,Travelling,land,land,,9:53:00.1
1,1.moving,1,1.Travelling,20512,53:00.1,1,0.428,0.536,0.36,moving,Travelling,land,land,,9:53:00.1
1,1.moving,1,1.Travelling,20513,53:00.2,1,0.9,-0.176,0.232,moving,Travelling,land,land,,9:53:00.2
1,1.moving,1,1.Travelling,20514,53:00.2,1,0.912,-0.34,0.32,moving,Travelling,land,land,,9:53:00.2
1,1.moving,1,1.Travelling,20515,53:00.2,1,0.996,-0.248,0.6,moving,Travelling,land,land,,9:53:00.3
1,1.moving,1,1.Travelling,20516,53:00.3,1,0.776,-0.372,0.64,moving,Travelling,land,land,,9:53:00.3
1,1.moving,1,1.Travelling,20517,53:00.3,1,0.84,-0.404,0.728,moving,Travelling,land,land,,9:53:00.4
1,1.moving,1,1.Travelling,20518,53:00.4,1,0.952,-0.292,0.624,moving,Travelling,land,land,,9:53:00.4
1,1.moving,1,1.Travelling,20519,53:00.4,1,1.04,-0.428,0.908,moving,Travelling,land,land,,9:53:00.5
1,1.moving,1,1.Travelling,20520,53:00.4,1,0.656,-0.116,1.084,moving,Travelling,land,land,,9:53:00.5
1,1.moving,1,1.Travelling,20521,53:00.5,1,0.348,0.616,0.812,moving,Travelling,land,land,,9:53:00.6
1,1.moving,1,1.Travelling,20522,53:00.5,1,0.46,0.916,1.136,moving,Travelling,land,land,,9:53:00.6
1,1.moving,1,1.Travelling,20523,53:00.6,1,0.276,0.66,0.676,moving,Travelling,land,land,,9:53:00.7
1,1.moving,1,1.Travelling,20524,53:00.6,1,0.18,0.448,0.392,moving,Travelling,land,land,,9:53:00.7
1,1.moving,1,1.Travelling,20525,53:00.6,1,0.176,0.336,0.336,moving,Travelling,land,land,,9:53:00.8
1,1.moving,1,1.Travelling,20526,53:00.7,1,0.636,-0.228,1.092,moving,Travelling,land,land,,9:53:00.8
1,1.moving,1,1.Travelling,20527,53:00.7,1,1.004,-0.444,0.624,moving,Travelling,land,land,,9:53:00.9
1,1.moving,1,1.Travelling,20528,53:00.8,1,1.06,-0.552,0.884,moving,Travelling,land,land,,9:53:00.9
1,1.moving,1,1.Travelling,20529,53:00.8,1,0.836,-0.444,0.792,moving,Travelling,land,land,,9:53:01.0
1,1.moving,1,1.Travelling,20530,53:00.8,1,0.776,-0.476,1.048,moving,Travelling,land,land,,9:53:01.0
1,1.moving,1,1.Travelling,20531,53:00.9,1,0.58,-0.116,1.028,moving,Travelling,land,land,,9:53:01.1
1,1.moving,1,1.Travelling,20532,53:00.9,1,0.584,0.236,0.928,moving,Travelling,land,land,,9:53:01.1
1,1.moving,1,1.Travelling,20533,53:01.0,1,0.088,0.44,1.048,moving,Travelling,land,land,,9:53:01.2
1,1.moving,1,1.Travelling,20534,53:01.0,1,0.456,0.468,1.164,moving,Travelling,land,land,,9:53:01.2
1,1.moving,1,1.Travelling,20535,53:01.0,1,0.204,0.492,0.9,moving,Travelling,land,land,,9:53:01.3
1,1.moving,1,1.Travelling,20536,53:01.1,1,0.292,0.492,0.316,moving,Travelling,land,land,,9:53:01.3
1,1.moving,1,1.Travelling,20537,53:01.1,1,0.24,0.064,0.412,moving,Travelling,land,land,,9:53:01.4
1,1.moving,1,1.Travelling,20538,53:01.2,1,0.192,0.316,0.196,moving,Travelling,land,land,,9:53:01.4
1,1.moving,1,1.Travelling,20539,53:01.2,1,0.816,-0.728,1.132,moving,Travelling,land,land,,9:53:01.5
1,1.moving,1,1.Travelling,20540,53:01.2,1,1.416,-1.148,0.136,moving,Travelling,land,land,,9:53:01.5
1,1.moving,1,1.Travelling,20541,53:01.3,1,0.972,-0.808,0.316,moving,Travelling,land,land,,9:53:01.6
1,1.moving,1,1.Travelling,20542,53:01.3,1,0.948,-1.016,2.088,moving,Travelling,land,land,,9:53:01.6
1,1.moving,1,1.Travelling,20543,53:01.4,1,0.02,0.312,1.536,moving,Travelling,land,land,,9:53:01.7
1,1.moving,1,1.Travelling,20544,53:01.4,1,-0.032,0.548,1.192,moving,Travelling,land,land,,9:53:01.7
1,1.moving,1,1.Travelling,20545,53:01.4,0.96,0.488,-0.02,1.108,moving,Travelling,land,land,,9:53:01.8
1,1.moving,1,1.Travelling,20546,53:01.5,1,0.464,0.236,1.084,moving,Travelling,land,land,,9:53:01.8
1,1.moving,1,1.Travelling,20547,53:01.5,0.96,0.064,0.528,0.5,moving,Travelling,land,land,,9:53:01.9
1,1.moving,1,1.Travelling,20548,53:01.6,1,0.308,0.256,0.512,moving,Travelling,land,land,,9:53:01.9
1,1.moving,1,1.Travelling,20549,53:01.6,1,0.16,0.12,0.164,moving,Travelling,land,land,,9:53:02.0
1,1.moving,1,1.Travelling,20550,53:01.6,1,0.972,-0.08,0.716,moving,Travelling,land,land,,9:53:02.0
1,1.moving,1,1.Travelling,20551,53:01.7,1,1.252,-0.564,0.14,moving,Travelling,land,land,,9:53:02.1
1,1.moving,1,1.Travelling,20552,53:01.7,1,1.396,-0.048,0.444,moving,Travelling,land,land,,9:53:02.1
1,1.moving,1,1.Travelling,20553,53:01.8,1,0.904,-0.152,0.596,moving,Travelling,land,land,,9:53:02.2
1,1.moving,1,1.Travelling,20554,53:01.8,1,-0.12,1.196,0.116,moving,Travelling,land,land,,9:53:02.2
1,1.moving,1,1.Travelling,20555,53:01.8,1,-0.552,1.02,0.316,moving,Travelling,land,land,,9:53:02.3
1,1.moving,1,1.Travelling,20556,53:01.9,1,0.236,0.404,0.956,moving,Travelling,land,land,,9:53:02.3
1,1.moving,1,1.Travelling,20557,53:01.9,1,0.376,0.288,1.172,moving,Travelling,land,land,,9:53:02.4
1,1.moving,1,1.Travelling,20558,53:02.0,1,-0.048,0.64,0.86,moving,Travelling,land,land,,9:53:02.4
1,1.moving,1,1.Travelling,20559,53:02.0,1,0.052,0.492,0.284,moving,Travelling,land,land,,9:53:02.5
1,1.moving,1,1.Travelling,20560,53:02.0,1,0.212,0.22,0.32,moving,Travelling,land,land,,9:53:02.5
1,1.moving,1,1.Travelling,20561,53:02.1,0.96,0.168,-0.064,-0.016,moving,Travelling,land,land,,9:53:02.6
1,1.moving,1,1.Travelling,20562,53:02.1,1,1.412,-1.048,-0.004,moving,Travelling,land,land,,9:53:02.6
1,1.moving,1,1.Travelling,20563,53:02.2,1,1.616,0.02,0.524,moving,Travelling,land,land,,9:53:02.7
1,1.moving,1,1.Travelling,20564,53:02.2,1,1.124,-0.08,0.36,moving,Travelling,land,land,,9:53:02.7
1,1.moving,1,1.Travelling,20565,53:02.2,1,1.2,-0.952,1.46,moving,Travelling,land,land,,9:53:02.8
1,1.moving,1,1.Travelling,20566,53:02.3,1,-0.076,0.096,1.196,moving,Travelling,land,land,,9:53:02.8
1,1.moving,1,1.Travelling,20567,53:02.3,1,0.1,0.26,1.328,moving,Travelling,land,land,,9:53:02.9
1,1.moving,1,1.Travelling,20568,53:02.4,1,0.612,0.112,1.084,moving,Travelling,land,land,,9:53:02.9
1,1.moving,1,1.Travelling,20569,53:02.4,1,0.16,0.568,1.132,moving,Travelling,land,land,,9:53:03.0
1,1.moving,1,1.Travelling,20570,53:02.4,1,0.076,0.508,0.48,moving,Travelling,land,land,,9:53:03.0
1,1.moving,1,1.Travelling,20571,53:02.5,1,0.296,0.344,0.692,moving,Travelling,land,land,,9:53:03.1
1,1.moving,1,1.Travelling,20572,53:02.5,1,0.152,0.084,0.24,moving,Travelling,land,land,,9:53:03.1
1,1.moving,1,1.Travelling,20573,53:02.6,1,1.088,-0.072,0.764,moving,Travelling,land,land,,9:53:03.2
1,1.moving,1,1.Travelling,20574,53:02.6,1,1.504,-0.864,-0.1,moving,Travelling,land,land,,9:53:03.2
1,1.moving,1,1.Travelling,20575,53:02.6,1.03,1.536,-0.048,0.528,moving,Travelling,land,land,,9:53:03.3
1,1.moving,1,1.Travelling,20576,53:02.7,1,0.944,0.104,0.484,moving,Travelling,land,land,,9:53:03.3
1,1.moving,1,1.Travelling,20577,53:02.7,1,0.516,0.08,0.12,moving,Travelling,land,land,,9:53:03.4
1,1.moving,1,1.Travelling,20578,53:02.8,1,-0.488,0.612,0.436,moving,Travelling,land,land,,9:53:03.4
1,1.moving,1,1.Travelling,20579,53:02.8,1,0.084,0.112,0.86,moving,Travelling,land,land,,9:53:03.5
1,1.moving,1,1.Travelling,20580,53:02.8,1.03,0.484,0.288,0.856,moving,Travelling,land,land,,9:53:03.5
1,1.moving,1,1.Travelling,20581,53:02.9,1,0.252,0.672,0.94,moving,Travelling,land,land,,9:53:03.6
1,1.moving,1,1.Travelling,20582,53:02.9,1,0.148,0.604,0.46,moving,Travelling,land,land,,9:53:03.6
1,1.moving,1,1.Travelling,20583,53:03.0,1,0.38,0.304,0.404,moving,Travelling,land,land,,9:53:03.7
1,1.moving,1,1.Travelling,20584,53:03.0,1,0.4,0.12,0.24,moving,Travelling,land,land,,9:53:03.7
1,1.moving,1,1.Travelling,20585,53:03.0,1,0.844,-0.34,1.256,moving,Travelling,land,land,,9:53:03.8
1,1.moving,1,1.Travelling,20586,53:03.1,1,2.16,-1.928,-0.388,moving,Travelling,land,land,,9:53:03.8
1,1.moving,1,1.Travelling,20587,53:03.1,1,1.5,-0.292,0.388,moving,Travelling,land,land,,9:53:03.9
1,1.moving,1,1.Travelling,20588,53:03.2,1,0.892,-0.32,0.34,moving,Travelling,land,land,,9:53:03.9
1,1.moving,1,1.Travelling,20589,53:03.2,1,0.244,-0.524,0.232,moving,Travelling,land,land,,9:53:04.0
1,1.moving,1,1.Travelling,20590,53:03.2,1,-0.588,0.16,0.436,moving,Travelling,land,land,,9:53:04.0
1,1.moving,1,1.Travelling,20591,53:03.3,1,0.14,0.108,0.948,moving,Travelling,land,land,,9:53:04.1
1,1.moving,1,1.Travelling,20592,53:03.3,1,0.484,-0.116,1.42,moving,Travelling,land,land,,9:53:04.1
1,1.moving,1,1.Travelling,20593,53:03.4,1,0.152,0.448,0.86,moving,Travelling,land,land,,9:53:04.2
1,1.moving,1,1.Travelling,20594,53:03.4,1,0.076,0.5,0.432,moving,Travelling,land,land,,9:53:04.2
1,1.moving,1,1.Travelling,20595,53:03.4,1,0.096,0.108,0.532,moving,Travelling,land,land,,9:53:04.3
1,1.moving,1,1.Travelling,20596,53:03.5,1,0.24,0.076,-0.124,moving,Travelling,land,land,,9:53:04.3
1,1.moving,1,1.Travelling,20597,53:03.5,1.03,1.18,-0.552,1.004,moving,Travelling,land,land,,9:53:04.4
1,1.moving,1,1.Travelling,20598,53:03.6,1,1.496,-1.62,-0.196,moving,Travelling,land,land,,9:53:04.4
1,1.moving,1,1.Travelling,20599,53:03.6,1,0.968,-0.8,-0.116,moving,Travelling,land,land,,9:53:04.5
1,1.moving,1,1.Travelling,20600,53:03.6,1,1.164,-2.604,0.72,moving,Travelling,land,land,,9:53:04.5
1,1.moving,1,1.Travelling,20601,53:03.7,1,0.02,-0.504,0.944,moving,Travelling,land,land,,9:53:04.6
1,1.moving,1,1.Travelling,20602,53:03.7,1,-0.304,0.132,0.692,moving,Travelling,land,land,,9:53:04.6
1,1.moving,1,1.Travelling,20603,53:03.8,1,1.068,-0.52,1.06,moving,Travelling,land,land,,9:53:04.7
1,1.moving,1,1.Travelling,20604,53:03.8,1,0.468,0.128,0.916,moving,Travelling,land,land,,9:53:04.7
1,1.moving,1,1.Travelling,20605,53:03.8,1,0.312,0.288,0.36,moving,Travelling,land,land,,9:53:04.8
1,1.moving,1,1.Travelling,20606,53:03.9,1,0.316,0.052,0.444,moving,Travelling,land,land,,9:53:04.8
1,1.moving,1,1.Travelling,20607,53:03.9,1,0.296,0.028,0.228,moving,Travelling,land,land,,9:53:04.9
1,1.moving,1,1.Travelling,20608,53:04.0,1,1.108,-0.448,1.6,moving,Travelling,land,land,,9:53:04.9
1,1.moving,1,1.Travelling,20609,53:04.0,1,1.968,-2.548,-0.8,moving,Travelling,land,land,,9:53:05.0
1,1.moving,1,1.Travelling,20610,53:04.0,1,1.428,-0.696,0.068,moving,Travelling,land,land,,9:53:05.0
1,1.moving,1,1.Travelling,20611,53:04.1,1,0.796,-0.736,1.512,moving,Travelling,land,land,,9:53:05.1
1,1.moving,1,1.Travelling,20612,53:04.1,1,-0.124,1.248,1.428,moving,Travelling,land,land,,9:53:05.1
1,1.moving,1,1.Travelling,20613,53:04.2,1,-0.428,1.1,0.896,moving,Travelling,land,land,,9:53:05.2
1,1.moving,1,1.Travelling,20614,53:04.2,1,0.276,0.344,1.168,moving,Travelling,land,land,,9:53:05.2
1,1.moving,1,1.Travelling,20615,53:04.2,1,0.392,0.452,0.676,moving,Travelling,land,land,,9:53:05.3
1,1.moving,1,1.Travelling,20616,53:04.3,1,0.188,0.788,1.132,moving,Travelling,land,land,,9:53:05.3
1,1.moving,1,1.Travelling,20617,53:04.3,1,0.108,0.656,0.476,moving,Travelling,land,land,,9:53:05.4
1,1.moving,1,1.Travelling,20618,53:04.4,1,0.332,0.284,0.428,moving,Travelling,land,land,,9:53:05.4
1,1.moving,1,1.Travelling,20619,53:04.4,1,0.516,0.024,0.096,moving,Travelling,land,land,,9:53:05.5
1,1.moving,1,1.Travelling,20620,53:04.4,1,0.56,-0.232,1.212,moving,Travelling,land,land,,9:53:05.5
1,1.moving,1,1.Travelling,20621,53:04.5,1,1.768,-2,-0.352,moving,Travelling,land,land,,9:53:05.6
1,1.moving,1,1.Travelling,20622,53:04.5,1,1.136,-0.492,0.252,moving,Travelling,land,land,,9:53:05.6
1,1.moving,1,1.Travelling,20623,53:04.6,1,0.92,-0.316,0.336,moving,Travelling,land,land,,9:53:05.7
1,1.moving,1,1.Travelling,20624,53:04.6,1.03,1.036,-1.068,1.712,moving,Travelling,land,land,,9:53:05.7
1,1.moving,1,1.Travelling,20625,53:04.6,1,0.072,0.032,1.36,moving,Travelling,land,land,,9:53:05.8
1,1.moving,1,1.Travelling,20626,53:04.7,1,-0.172,0.28,0.944,moving,Travelling,land,land,,9:53:05.8
1,1.moving,1,1.Travelling,20627,53:04.7,1,0.32,-0.004,1.18,moving,Travelling,land,land,,9:53:05.9
1,1.moving,1,1.Travelling,20628,53:04.8,1.03,0.696,-0.056,1.224,moving,Travelling,land,land,,9:53:05.9
1,1.moving,1,1.Travelling,20629,53:04.8,1,0.196,0.388,1.204,moving,Travelling,land,land,,9:53:06.0
1,1.moving,1,1.Travelling,20630,53:04.8,1,0.164,0.516,0.452,moving,Travelling,land,land,,9:53:06.0
1,1.moving,1,1.Travelling,20631,53:04.9,1,0.412,0.224,0.504,moving,Travelling,land,land,,9:53:06.1
1,1.moving,1,1.Travelling,20632,53:04.9,1,0.436,0.224,0.42,moving,Travelling,land,land,,9:53:06.1
1,1.moving,1,1.Travelling,20633,53:05.0,1.03,0.764,0.084,1.14,moving,Travelling,land,land,,9:53:06.2
1,1.moving,1,1.Travelling,20634,53:05.0,1,1.936,-1.752,0.328,moving,Travelling,land,land,,9:53:06.2
1,1.moving,1,1.Travelling,20635,53:05.0,1,1.312,-1.1,0.332,moving,Travelling,land,land,,9:53:06.3
1,1.moving,1,1.Travelling,20636,53:05.1,1,0.66,-0.764,0.388,moving,Travelling,land,land,,9:53:06.3
1,1.moving,1,1.Travelling,20637,53:05.1,1,0.5,-1.46,0.412,moving,Travelling,land,land,,9:53:06.4
1,1.moving,1,1.Travelling,20638,53:05.2,1.03,-0.392,-0.2,0.56,moving,Travelling,land,land,,9:53:06.4
1,1.moving,1,1.Travelling,20639,53:05.2,1,0.104,0.032,0.828,moving,Travelling,land,land,,9:53:06.5
1,1.moving,1,1.Travelling,20640,53:05.2,1,0.636,0.188,0.732,moving,Travelling,land,land,,9:53:06.5
1,1.moving,1,1.Travelling,20641,53:05.3,1.03,0.416,0.512,0.952,moving,Travelling,land,land,,9:53:06.6
1,1.moving,1,1.Travelling,20642,53:05.3,1,0.24,0.628,0.552,moving,Travelling,land,land,,9:53:06.6
1,1.moving,1,1.Travelling,20643,53:05.4,1,0.32,0.428,0.34,moving,Travelling,land,land,,9:53:06.7
1,1.moving,1,1.Travelling,20644,53:05.4,1,0.676,0.032,0.032,moving,Travelling,land,land,,9:53:06.7
1,1.moving,1,1.Travelling,20645,53:05.4,1.03,0.796,-0.268,1.024,moving,Travelling,land,land,,9:53:06.8
1,1.moving,1,1.Travelling,20646,53:05.5,1.03,2.116,-1.64,0.124,moving,Travelling,land,land,,9:53:06.8
1,1.moving,1,1.Travelling,20647,53:05.5,1.03,1.104,-0.432,0.624,moving,Travelling,land,land,,9:53:06.9
1,1.moving,1,1.Travelling,20648,53:05.6,1,0.908,-0.196,0.596,moving,Travelling,land,land,,9:53:06.9
1,1.moving,1,1.Travelling,20649,53:05.6,1.03,0.376,-0.46,0.908,moving,Travelling,land,land,,9:53:07.0
1,1.moving,1,1.Travelling,20650,53:05.6,1.03,0.068,-0.216,0.924,moving,Travelling,land,land,,9:53:07.0
1,1.moving,1,1.Travelling,20651,53:05.7,1,0.104,-0.232,0.932,moving,Travelling,land,land,,9:53:07.1
1,1.moving,1,1.Travelling,20652,53:05.7,1.03,0.056,-0.128,0.952,moving,Travelling,land,land,,9:53:07.1
1,1.moving,1,1.Travelling,20653,53:05.8,1.03,0.364,0.484,0.82,moving,Travelling,land,land,,9:53:07.2
1,1.moving,1,1.Travelling,20654,53:05.8,1.03,0.148,0.732,1.08,moving,Travelling,land,land,,9:53:07.2
1,1.moving,1,1.Travelling,20655,53:05.8,1.03,0.288,0.84,0.688,moving,Travelling,land,land,,9:53:07.3
1,1.moving,1,1.Travelling,20656,53:05.9,1.03,0.284,0.6,0.368,moving,Travelling,land,land,,9:53:07.3
1,1.moving,1,1.Travelling,20657,53:05.9,1.03,0.44,0.352,0.324,moving,Travelling,land,land,,9:53:07.4
1,1.moving,1,1.Travelling,20658,53:06.0,1.03,0.824,-0.416,1.728,moving,Travelling,land,land,,9:53:07.4
1,1.moving,1,1.Travelling,20659,53:06.0,1.03,1.36,-1.54,0.54,moving,Travelling,land,land,,9:53:07.5
1,1.moving,1,1.Travelling,20660,53:06.0,1.03,0.796,-0.316,0.896,moving,Travelling,land,land,,9:53:07.5
1,1.moving,1,1.Travelling,20661,53:06.1,1.03,0.896,-0.28,0.824,moving,Travelling,land,land,,9:53:07.6
1,1.moving,1,1.Travelling,20662,53:06.1,1.03,0.632,-0.28,0.736,moving,Travelling,land,land,,9:53:07.6
1,1.moving,1,1.Travelling,20663,53:06.2,1.03,0.292,-0.192,0.572,moving,Travelling,land,land,,9:53:07.7
1,1.moving,1,1.Travelling,20664,53:06.2,1.03,0.084,-0.128,0.752,moving,Travelling,land,land,,9:53:07.7
1,1.moving,1,1.Travelling,20665,53:06.2,1.03,0.144,-0.04,0.872,moving,Travelling,land,land,,9:53:07.8
1,1.moving,1,1.Travelling,20666,53:06.3,1.03,0.136,0.104,0.856,moving,Travelling,land,land,,9:53:07.8
1,1.moving,1,1.Travelling,20667,53:06.3,1.03,0.144,0.32,0.856,moving,Travelling,land,land,,9:53:07.9
1,1.moving,1,1.Travelling,20668,53:06.4,1.03,0.188,0.332,0.808,moving,Travelling,land,land,,9:53:07.9
1,1.moving,1,1.Travelling,20669,53:06.4,1.03,0.304,0.54,0.756,moving,Travelling,land,land,,9:53:08.0
1,1.moving,1,1.Travelling,20670,53:06.4,1.03,0.512,0.552,0.716,moving,Travelling,land,land,,9:53:08.0
1,1.moving,1,1.Travelling,20671,53:06.5,1.03,0.664,0.508,0.54,moving,Travelling,land,land,,9:53:08.1
1,1.moving,1,1.Travelling,20672,53:06.5,1.03,0.648,0.604,0.512,moving,Travelling,land,land,,9:53:08.1
1,1.moving,1,1.Travelling,20673,53:06.6,1.03,0.596,-0.02,0.388,moving,Travelling,land,land,,9:53:08.2
1,1.moving,1,1.Travelling,20674,53:06.6,1.03,0.528,-0.488,0.256,moving,Travelling,land,land,,9:53:08.2
1,1.moving,1,1.Travelling,20675,53:06.6,1.03,1.312,-0.352,0.56,moving,Travelling,land,land,,9:53:08.3
1,1.moving,1,1.Travelling,20676,53:06.7,1.03,0.996,-0.38,0.556,moving,Travelling,land,land,,9:53:08.3
1,1.moving,1,1.Travelling,20677,53:06.7,1.03,0.76,-0.224,0.692,moving,Travelling,land,land,,9:53:08.4
1,1.moving,1,1.Travelling,20678,53:06.8,1.03,0.668,-0.252,0.536,moving,Travelling,land,land,,9:53:08.4
1,1.moving,1,1.Travelling,20679,53:06.8,1.03,0.632,-0.192,0.692,moving,Travelling,land,land,,9:53:08.5
1,1.moving,1,1.Travelling,20680,53:06.8,1.03,0.632,-0.084,0.928,moving,Travelling,land,land,,9:53:08.5
1,1.moving,1,1.Travelling,20681,53:06.9,1.03,0.388,0.012,0.824,moving,Travelling,land,land,,9:53:08.6
1,1.moving,1,1.Travelling,20682,53:06.9,1.03,0.296,-0.064,0.936,moving,Travelling,land,land,,9:53:08.6
1,1.moving,1,1.Travelling,20683,53:07.0,1.03,0.12,-0.004,0.784,moving,Travelling,land,land,,9:53:08.7
1,1.moving,1,1.Travelling,20684,53:07.0,1.03,0.1,0.124,0.92,moving,Travelling,land,land,,9:53:08.7
1,1.moving,1,1.Travelling,20685,53:07.0,1.03,0.088,0.292,0.948,moving,Travelling,land,land,,9:53:08.8
1,1.moving,1,1.Travelling,20686,53:07.1,1.03,0.148,0.54,0.828,moving,Travelling,land,land,,9:53:08.8
1,1.moving,1,1.Travelling,20687,53:07.1,1.03,0.26,0.684,0.708,moving,Travelling,land,land,,9:53:08.9
1,1.moving,1,1.Travelling,20688,53:07.2,1.03,0.456,0.8,0.54,moving,Travelling,land,land,,9:53:08.9
1,1.moving,1,1.Travelling,20689,53:07.2,1.03,0.46,0.564,0.336,moving,Travelling,land,land,,9:53:09.0
1,1.moving,1,1.Travelling,20690,53:07.2,1.03,0.744,-0.5,0.06,moving,Travelling,land,land,,9:53:09.0
1,1.moving,1,1.Travelling,20691,53:07.3,1.03,1.148,-0.556,0.528,moving,Travelling,land,land,,9:53:09.1
1,1.moving,1,1.Travelling,20692,53:07.3,1.03,1.168,-0.256,0.568,moving,Travelling,land,land,,9:53:09.1
1,1.moving,1,1.Travelling,20693,53:07.4,1.03,1.22,0,0.656,moving,Travelling,land,land,,9:53:09.2
1,1.moving,1,1.Travelling,20694,53:07.4,1.03,0.896,0,0.544,moving,Travelling,land,land,,9:53:09.2
1,1.moving,1,1.Travelling,20695,53:07.4,1.03,0.776,-0.036,0.748,moving,Travelling,land,land,,9:53:09.3
1,1.moving,1,1.Travelling,20696,53:07.5,1.03,0.66,-0.184,1,moving,Travelling,land,land,,9:53:09.3
1,1.moving,1,1.Travelling,20697,53:07.5,1.03,0.416,-0.368,0.864,moving,Travelling,land,land,,9:53:09.4
1,1.moving,1,1.Travelling,20698,53:07.6,1.03,0.348,-0.264,0.948,moving,Travelling,land,land,,9:53:09.4
1,1.moving,1,1.Travelling,20699,53:07.6,1.03,0.096,-0.192,0.92,moving,Travelling,land,land,,9:53:09.5
1,1.moving,1,1.Travelling,20700,53:07.6,1.03,0.016,0.372,0.796,moving,Travelling,land,land,,9:53:09.5
1,1.moving,1,1.Travelling,20701,53:07.7,1.03,0.008,0.616,0.976,moving,Travelling,land,land,,9:53:09.6
2,2.moving,2,2.Travelling,20702,53:07.7,1.03,0.024,0.932,0.664,moving,Travelling,land,land,moving,9:53:09.6
2,2.moving,2,2.Travelling,20703,53:07.8,1.03,0.136,0.792,0.364,moving,Travelling,land,land,,9:53:09.7
2,2.moving,2,2.Travelling,20704,53:07.8,1.03,0.356,0.588,0.408,moving,Travelling,land,land,,9:53:09.7
2,2.moving,2,2.Travelling,20705,53:07.8,1.03,0.524,0.392,1.012,moving,Travelling,land,land,,9:53:09.8
2,2.moving,2,2.Travelling,20706,53:07.9,1.03,1.352,-0.808,-0.26,moving,Travelling,land,land,,9:53:09.8
2,2.moving,2,2.Travelling,20707,53:07.9,1.03,1.108,0.344,0.424,moving,Travelling,land,land,,9:53:09.9
2,2.moving,2,2.Travelling,20708,53:08.0,1.03,1.008,-0.072,0.656,moving,Travelling,land,land,,9:53:09.9
2,2.moving,2,2.Travelling,20709,53:08.0,1.03,0.956,-0.168,0.548,moving,Travelling,land,land,,9:53:10.0
2,2.moving,2,2.Travelling,20710,53:08.0,1.03,0.476,-0.232,0.46,moving,Travelling,land,land,,9:53:10.0
2,2.moving,2,2.Travelling,20711,53:08.1,1.03,0.296,0.552,0.748,moving,Travelling,land,land,,9:53:10.1
2,2.moving,2,2.Travelling,20712,53:08.1,1.03,-0.204,0.308,0.804,moving,Travelling,land,land,,9:53:10.1
2,2.moving,2,2.Travelling,20713,53:08.2,1.03,-0.04,0.384,1.452,moving,Travelling,land,land,,9:53:10.2
2,2.moving,2,2.Travelling,20714,53:08.2,1.03,0.232,0.372,1.364,moving,Travelling,land,land,,9:53:10.2
2,2.moving,2,2.Travelling,20715,53:08.2,1.03,0.144,0.704,0.852,moving,Travelling,land,land,,9:53:10.3
2,2.moving,2,2.Travelling,20716,53:08.3,1.03,0.28,0.456,0.304,moving,Travelling,land,land,,9:53:10.3
2,2.moving,2,2.Travelling,20717,53:08.3,1.03,0.372,-0.032,0.612,moving,Travelling,land,land,,9:53:10.4
2,2.moving,2,2.Travelling,20718,53:08.4,1.03,0.284,0.528,0.796,moving,Travelling,land,land,,9:53:10.4
2,2.moving,2,2.Travelling,20719,53:08.4,1.03,1.776,-0.584,-0.284,moving,Travelling,land,land,,9:53:10.5
2,2.moving,2,2.Travelling,20720,53:08.4,1.03,1.284,0.076,0.712,moving,Travelling,land,land,,9:53:10.5
2,2.moving,2,2.Travelling,20721,53:08.5,1.03,0.844,-0.304,0.148,moving,Travelling,land,land,,9:53:10.6
2,2.moving,2,2.Travelling,20722,53:08.5,1.03,0.012,0.44,-0.324,moving,Travelling,land,land,,9:53:10.6
2,2.moving,2,2.Travelling,20723,53:08.6,1.03,-0.88,1.216,0.388,moving,Travelling,land,land,,9:53:10.7
2,2.moving,2,2.Travelling,20724,53:08.6,1.03,0.444,0.192,1.468,moving,Travelling,land,land,,9:53:10.7
2,2.moving,2,2.Travelling,20725,53:08.6,1.03,0.168,0.54,1.116,moving,Travelling,land,land,,9:53:10.8
2,2.moving,2,2.Travelling,20726,53:08.7,1.03,0.024,0.552,0.444,moving,Travelling,land,land,,9:53:10.8
2,2.moving,2,2.Travelling,20727,53:08.7,1.03,0.512,0.276,0.824,moving,Travelling,land,land,,9:53:10.9
2,2.moving,2,2.Travelling,20728,53:08.8,1.03,0.404,0.108,0.492,moving,Travelling,land,land,,9:53:10.9
2,2.moving,2,2.Travelling,20729,53:08.8,1.03,0.872,0.428,1.02,moving,Travelling,land,land,,9:53:11.0
2,2.moving,2,2.Travelling,20730,53:08.8,1.03,0.992,-0.98,0.412,moving,Travelling,land,land,,9:53:11.0
2,2.moving,2,2.Travelling,20731,53:08.9,1.03,0.556,-0.604,0.256,moving,Travelling,land,land,,9:53:11.1
2,2.moving,2,2.Travelling,20732,53:08.9,1.03,0.812,-1.836,0.56,moving,Travelling,land,land,,9:53:11.1
2,2.moving,2,2.Travelling,20733,53:09.0,1.03,-0.552,0.416,0.764,moving,Travelling,land,land,,9:53:11.2
2,2.moving,2,2.Travelling,20734,53:09.0,1.03,-0.256,0.38,0.024,moving,Travelling,land,land,,9:53:11.2
2,2.moving,2,2.Travelling,20735,53:09.0,1.03,0.48,-0.304,0.74,moving,Travelling,land,land,,9:53:11.3
